"scn","trough_year","variable","met","trough_resistance","description","unit","severity"
"harvest_45",13,"Rh",1979,-0.0791667056092824,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",12,"Rh",1979,-0.148315260633469,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",14,"Rh",1979,-0.228679395902852,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",10,"Rh",1981,-0.0477372751216901,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",12,"Rh",1981,-0.101161254700594,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",11,"Rh",1981,-0.187377171800593,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",11,"Rh",1983,-0.0867590406104938,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",13,"Rh",1983,-0.168754659726029,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",15,"Rh",1983,-0.272633326366231,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",21,"Rh",1985,-0.0458573410655074,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",25,"Rh",1985,-0.0777545477126838,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",25,"Rh",1985,-0.116213397526864,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",18,"Rh",1987,-0.0429397416331424,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",13,"Rh",1987,-0.0787659020468674,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",10,"Rh",1987,-0.158820708377248,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",21,"Rh",1989,-0.12800107111004,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",25,"Rh",1989,-0.175128266127828,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",27,"Rh",1989,-0.220799956284446,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",14,"Rh",1991,-0.0505927324046358,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",11,"Rh",1991,-0.117250313723714,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",11,"Rh",1991,-0.199065674967243,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",25,"Rh",1993,-0.0506679325492033,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",25,"Rh",1993,-0.0818394435764357,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",25,"Rh",1993,-0.119697832550784,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",17,"Rh",1995,-0.0502646742806917,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",13,"Rh",1995,-0.0937324431792515,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",14,"Rh",1995,-0.169293211894947,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",17,"Rh",1997,-0.0410528530593238,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",21,"Rh",1997,-0.13206251433782,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",26,"Rh",1997,-0.290554299055893,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",22,"Rh",2000,-0.0497965655802888,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",20,"Rh",2000,-0.0827940547038984,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",20,"Rh",2000,-0.12037075741761,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",14,"Rh",2002,-0.067197564119577,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",14,"Rh",2002,-0.108657477797239,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",15,"Rh",2002,-0.1585213729252,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",22,"Rh",2004,-0.0538615037418611,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",22,"Rh",2004,-0.0890611741493503,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",20,"Rh",2004,-0.136054155756242,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",29,"Rh",2006,-0.0196812547313499,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",25,"Rh",2006,-0.0319205013789033,"Annual  Heterotrophic respiration","unitless","65 %"
"harvest_85",21,"Rh",2006,-0.0447992196056639,"Annual  Heterotrophic respiration","unitless","85 %"
"harvest_45",30,"Rh",2008,-0.0233757483622291,"Annual  Heterotrophic respiration","unitless","45 %"
"harvest_65",24,"Rh",2008,-0.0420550269440693,"Annual  Heterotrophic respiration","unitless","65 %"
